Service,"Domain",Capability,Capability Type,"Owner Supports","Owner Read API","Owner Write/Action API","Current Truth Available","Current OIDA UI","Current OIDA Action","Primary Classification","Decision Rationale",User Value,"Frequency",Cross-Service Value,Complexity,Write Risk,Primary Roles,OIDA Surface,"Precheck Relevant",AI Future Value,"Deep Link Possible","Implementation Priority",Notes
"PM Again",Schedule,"View dependency chain and blocked dependencies",READ,YES,YES,NO,YES,PARTIAL,NO,A,"Connects PM blockage to QA and Infra impact",HIGH,DAILY,HIGH,MEDIUM,LOW,PROJECT_OWNER; PM; QA; INFRA,Project Delivery / Project Health,YES,HIGH,YES,P0,"Truth has aggregate dependency status only"
"PM Again",Schedule,"Create and edit Gantt annotations",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Timeline annotation authoring is PM-specific",LOW,WEEKLY,LOW,MEDIUM,LOW,PM,"Open in PM Again",NO,LOW,YES,DEFER,"Deep link to timeline context"
"PM Again",Progress,"View plan versus actual dates",READ,YES,YES,NO,PARTIAL,MISSING,NO,A,"Shows variance without reproducing the editor",HIGH,DAILY,HIGH,MEDIUM,LOW,PROJECT_OWNER; PM,Project Delivery / Project Health,YES,HIGH,YES,P1,"Owner progress matrix data is not in project_truth/v1"
"PM Again",Progress,"Edit plan dates and actual overrides",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Sensitive schedule correction requires specialist context",MEDIUM,WEEKLY,MEDIUM,HIGH,HIGH,PM,"Open in PM Again",NO,MEDIUM,YES,DEFER,"Avoid duplicate adjustment model"
"PM Again",Progress,"View progress matrix and calendar",READ,YES,YES,NO,PARTIAL,MISSING,NO,A,"Compact view reduces routine PM navigation",HIGH,DAILY,HIGH,MEDIUM,LOW,PROJECT_OWNER; PM,"Project Delivery / Planning",NO,HIGH,YES,P1,"Project at summary level; delegate detailed calendar"
"PM Again","Analytics","View slippage prediction and late phases",READ,YES,YES,NO,NO,MISSING,NO,A,"High-value early warning for project attention",HIGH,DAILY,HIGH,MEDIUM,LOW,"PROJECT_OWNER; PM; FYI: QA, INFRA",Project Overview / Project Health,YES,HIGH,YES,P0,"Owner read API exists; not yet in truth"
"PM Again","Analytics","View dashboard health and PM status",READ,YES,YES,NO,YES,PRESENT,NO,A,"Executive delivery-health signal",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; PM; FYI: ALL,Project Overview,YES,HIGH,YES,P0,"Already present; retain executive size"
"PM Again",Effort,"View effort summary and forecast",READ,YES,YES,NO,YES,PRESENT,NO,A,"Answers planned/used effort without editing estimates",HIGH,WEEKLY,MEDIUM,LOW,LOW,PROJECT_OWNER; PM; FYI: CUSTOMER_TECHNICAL_OWNER,"Project Overview / Planning",YES,HIGH,YES,P1,"Truth has summary; forecast presentation is partial"
"PM Again",Effort,"View detailed estimates and drivers",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Useful drill-down for effort confidence",MEDIUM,WEEKLY,MEDIUM,MEDIUM,LOW,PM; PROJECT_OWNER,"Project Delivery / Planning",NO,MEDIUM,YES,P2,Keep detailed drivers off Overview
"PM Again",Effort,"Calculate or edit estimates and effort configuration",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Specialist estimation/configuration workflow",MEDIUM,MONTHLY,LOW,HIGH,HIGH,PM,"Open in PM Again",NO,LOW,YES,DEFER,"Do not reproduce estimation engine"
"PM Again",Effort,"View effort budget and variance",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Budget variance affects project decisions",HIGH,WEEKLY,HIGH,LOW,LOW,PROJECT_OWNER; PM,Project Delivery / Project Health,YES,HIGH,YES,P1,"Current effort page says configured/not configured"
"PM Again",Resources,"View utilization and capacity pressure",READ,YES,YES,NO,NO,PARTIAL,NO,A,"Capacity constraint is a delivery-health signal",MEDIUM,WEEKLY,MEDIUM,MEDIUM,LOW,PROJECT_OWNER; PM,Project Delivery / Project Health,NO,MEDIUM,YES,P2,"Project only exceptions; no directory copy"
"PM Again",Resources,"Manage resource directory and allocations",WORKFLOW,YES,YES,YES,NO,PARTIAL,NO,C,"Resource planning is sensitive specialist work",MEDIUM,WEEKLY,LOW,HIGH,HIGH,PM,"Open in PM Again",NO,LOW,YES,DEFER,"No OIDA resource planning"
"PM Again","Risk and Issues","View open risks, issues, decisions, and blockers",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Project attention needs owner-recorded risks and issues",HIGH,DAILY,HIGH,LOW,LOW,"PROJECT_OWNER; PM; FYI: QA, INFRA",Project Overview / Project Health,YES,HIGH,YES,P0,"Do not confuse PM board decisions with Document decisions"
"PM Again","Risk and Issues",Create a lightweight risk or issue,ACTION,YES,YES,YES,NO,PRESENT,PRESENT,B,"Small frequent action with existing owner API",HIGH,WEEKLY,HIGH,LOW,MEDIUM,PM; PROJECT_OWNER,"My Actions / Project Health",NO,MEDIUM,YES,P1,"Owner retains register; OIDA may provide concise form"
"PM Again","Risk and Issues","Edit, delete, promote, import, or export board items",WORKFLOW,YES,YES,YES,NO,PARTIAL,PARTIAL,C,"Broader workflow needs PM context and safeguards",MEDIUM,WEEKLY,MEDIUM,HIGH,HIGH,PM,"Open in PM Again",NO,LOW,YES,DEFER,"Existing promote remains bounded but not a target expansion"
"PM Again","Knowledge","Manage quick notes, note pages, backlinks, tags, and links",WORKFLOW,YES,YES,YES,NO,PARTIAL,PARTIAL,C,"Knowledge authoring is useful but not core cross-service truth",LOW,WEEKLY,LOW,HIGH,LOW,PM,"Open in PM Again",NO,LOW,YES,DEFER,"Avoid a second PM wiki"
"PM Again","Knowledge","View and edit whiteboards",WORKFLOW,YES,YES,YES,NO,PARTIAL,MISSING,C,"Visual collaboration editor belongs to PM",LOW,MONTHLY,LOW,HIGH,LOW,PM,"Open in PM Again",NO,LOW,YES,DEFER,"Contextual deep link only"
"PM Again","Reporting","View and export daily, weekly, monthly, and phase reports",READ,YES,YES,NO,NO,PRESENT,PRESENT,C,"Useful specialist reporting already reachable",MEDIUM,WEEKLY,LOW,MEDIUM,LOW,PM; PROJECT_OWNER,"Open in PM Again / existing Reports",NO,MEDIUM,YES,DEFER,"Do not put report catalog on Overview"
"PM Again","Change Control","Manage PM-owned change requests and impact approval",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Overlaps conceptually with Document CR; must remain clearly PM-owned",MEDIUM,MONTHLY,HIGH,HIGH,HIGH,PM; PROJECT_OWNER,"Open in PM Again",NO,HIGH,YES,DEFER,"Never merge with Document Again commercial CR truth"
"PM Again","Documents","Manage PM document templates, review, and sign-off",WORKFLOW,YES,YES,YES,NO,PARTIAL,MISSING,C,"Document Again owns governed project documents and acceptance",LOW,MONTHLY,MEDIUM,HIGH,HIGH,PM,"Open in PM Again",NO,LOW,YES,DEFER,"Keep owner naming explicit"
"PM Again","Integration","View delivery work-package intake and handoff status",READ,YES,YES,NO,PARTIAL,PARTIAL,NO,A,"Shows whether orchestration reached PM and remains correlated",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; PM; QA; INFRA,Project Health / History,YES,HIGH,YES,P1,"Projection only; Conductor orchestrates"
"PM Again","Data Exchange","Import or export functions, tasks, schedule, board, notes, or estimates",WORKFLOW,YES,YES,YES,NO,PARTIAL,MISSING,C,"Bulk data operations are specialist and high-impact",LOW,MONTHLY,LOW,HIGH,HIGH,PM,"Open in PM Again",NO,LOW,YES,DEFER,"No duplicate import pipeline"
"PM Again",Audit,View PM activity log,READ,YES,YES,NO,NO,PRESENT,NO,A,"Supports project history and change awareness",MEDIUM,WEEKLY,HIGH,LOW,LOW,"PROJECT_OWNER; PM; FYI: QA, INFRA","History / What Changed",NO,HIGH,YES,P2,"Project-scoped projection only"
"PM Again","Calendar","Manage holidays and working-calendar exceptions",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Calendar configuration changes schedule semantics",LOW,RARE,MEDIUM,HIGH,HIGH,PM,"Open in PM Again",NO,LOW,YES,DEFER,"Show resulting schedule impact, not editor"
"QA Again",Portfolio,"View QA project identity and scope status",READ,YES,YES,NO,YES,PRESENT,NO,A,"Confirms explicit validation scopes",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; QA; FYI: PM,"Project Overview / QA Readiness",YES,HIGH,YES,P1,"Five-scope binding is already explicit"
"QA Again",Portfolio,"Create, archive, delete, or configure QA project and quota",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Specialist administration and destructive operations",LOW,RARE,LOW,HIGH,HIGH,QA,"Open in QA Again",NO,LOW,YES,DEFER,"Quota internals excluded separately"
"QA Again","Test Design","View suite count and definition status",READ,YES,YES,NO,YES,PRESENT,NO,A,"Shows whether test definition exists",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; QA; FYI: PM,"QA / Readiness",YES,HIGH,YES,P0,"Truth already provides count/status"
"QA Again","Test Design","Create, edit, or delete suites",WORKFLOW,YES,YES,YES,NO,PRESENT,PARTIAL,C,"Test authoring belongs to QA workbench",MEDIUM,WEEKLY,LOW,HIGH,MEDIUM,QA,"Open in QA Again",NO,LOW,YES,DEFER,"Existing OIDA editor should not expand"
"QA Again","Test Design","View current published revision and revision age",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Revision provenance affects evidence and acceptance",HIGH,WEEKLY,HIGH,LOW,LOW,QA; PROJECT_OWNER; REVIEWER,"QA / Readiness",YES,HIGH,YES,P1,"Current truth lacks revision detail"
"QA Again","Test Design","Create, clone, publish, or compare revisions",WORKFLOW,YES,YES,YES,NO,PRESENT,PARTIAL,C,"Versioned authoring requires QA specialist context",MEDIUM,WEEKLY,MEDIUM,HIGH,HIGH,QA; REVIEWER,"Open in QA Again",NO,MEDIUM,YES,DEFER,"Project only current revision status"
"QA Again","Test Design","View test-case count and requirement coverage",READ,YES,YES,NO,YES,PRESENT,NO,A,"Coverage is central to readiness and acceptance",HIGH,DAILY,HIGH,LOW,LOW,QA; PROJECT_OWNER; REVIEWER,"QA / Readiness",YES,HIGH,YES,P0,"Truth has test count but not detailed coverage"
"QA Again","Test Design","Author cases and steps or import/export case data",WORKFLOW,YES,YES,YES,NO,PRESENT,PARTIAL,C,"Detailed case and step editor is specialist work",MEDIUM,DAILY,LOW,HIGH,MEDIUM,QA,"Open in QA Again",NO,LOW,YES,DEFER,"No full test editor in OIDA"
"QA Again","Test Design","View detailed test steps and expected results",READ,YES,YES,NO,NO,PRESENT,NO,C,"Useful during execution but too detailed for project workspace",LOW,DAILY,LOW,MEDIUM,LOW,QA,"Open in QA Again",NO,LOW,YES,DEFER,"OIDA may show case title only in context"
"QA Again","Execution","View cycle status, environment, and remaining tests",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Answers what remains and where testing runs",HIGH,DAILY,HIGH,LOW,LOW,"QA; PROJECT_OWNER; FYI: PM, INFRA","QA / Readiness",YES,HIGH,YES,P0,"Truth execution status exists; cycle attention is partial"
"QA Again","Execution","Create, edit, lock, or reopen test cycles",WORKFLOW,YES,YES,YES,NO,PRESENT,PARTIAL,C,"Cycle control has lifecycle implications",MEDIUM,DAILY,MEDIUM,HIGH,HIGH,QA,"Open in QA Again",NO,MEDIUM,YES,DEFER,"No expansion of cycle management"
"QA Again","Execution","View execution summary, pass rate, and result counts",READ,YES,YES,NO,YES,PRESENT,NO,A,"Core QA health and go-live signal",HIGH,DAILY,HIGH,LOW,LOW,"PROJECT_OWNER; QA; FYI: PM, INFRA","Project Overview / QA Readiness",YES,HIGH,YES,P0,Keep Overview summarized
"QA Again","Execution","View failed tests and blocking failure reasons",READ,YES,YES,NO,PARTIAL,PARTIAL,NO,A,"Turns aggregate failure into actionable attention",HIGH,DAILY,HIGH,MEDIUM,LOW,QA; PROJECT_OWNER; PM,"QA / Readiness / My Actions",YES,HIGH,YES,P0,"Current truth has counts, not failure list"
"QA Again","Execution","Update or review individual cycle results",WORKFLOW,YES,YES,YES,NO,PRESENT,PRESENT,C,"Manual execution and review belong to QA workbench",HIGH,DAILY,MEDIUM,HIGH,HIGH,QA; REVIEWER,"Open in QA Again",NO,MEDIUM,YES,DEFER,"Existing controls should not become a full workspace"
"QA Again","Execution","View result review and revision history",READ,YES,YES,NO,NO,MISSING,NO,A,"Supports auditability and explains changed readiness",MEDIUM,WEEKLY,HIGH,MEDIUM,LOW,QA; REVIEWER; PROJECT_OWNER,QA / History,YES,HIGH,YES,P2,"Summary projection, not execution register"
"QA Again","Readiness","View QA readiness and missing prerequisites",READ,YES,YES,NO,YES,PRESENT,NO,A,"Direct answer to whether QA is ready",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; QA; PM; INFRA,"Project Overview / QA Readiness",YES,HIGH,YES,P0,"Already in truth; improve reasons and scope drill-down"
"QA Again","Evidence","View evidence completeness and gaps",READ,YES,YES,NO,YES,PARTIAL,NO,A,"Required for precheck and acceptance confidence",HIGH,DAILY,HIGH,LOW,LOW,QA; REVIEWER; APPROVER; PROJECT_OWNER,"QA / Readiness / Document Precheck",YES,HIGH,YES,P0,"Truth exposes status/completeness; UX is weak"
"QA Again","Evidence","View evidence items and provenance",READ,YES,YES,NO,PARTIAL,MISSING,NO,A,"Lets reviewers verify support without authoring evidence",HIGH,WEEKLY,HIGH,MEDIUM,LOW,QA; REVIEWER; APPROVER,"QA / Evidence",YES,HIGH,YES,P1,"Projection with owner IDs and deep links"
"QA Again","Evidence","Upload, annotate, archive, or retrieve original evidence",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Detailed evidence custody and annotation belongs to QA",MEDIUM,DAILY,MEDIUM,HIGH,HIGH,QA; REVIEWER,"Open in QA Again",NO,MEDIUM,YES,DEFER,"Do not duplicate evidence store"
"QA Again",Defects,"View open and blocking defect counts",READ,YES,YES,NO,YES,PRESENT,NO,A,"Acceptance-blocking signal",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; QA; PM; APPROVER,"Project Overview / QA Readiness",YES,HIGH,YES,P0,"Already normalized"
"QA Again",Defects,"View defect severity, status, and requirement/test linkage",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Explains blockers across requirements and execution",HIGH,DAILY,HIGH,MEDIUM,LOW,QA; PROJECT_OWNER; PM; REVIEWER,"QA / Readiness",YES,HIGH,YES,P1,"Link metadata currently partial"
"QA Again",Defects,"Create a defect from OIDA context",ACTION,YES,YES,YES,NO,PRESENT,PRESENT,B,"Small frequent bounded write with cross-service context",HIGH,DAILY,HIGH,LOW,MEDIUM,QA; PM; PROJECT_OWNER,"My Actions / QA Readiness",NO,HIGH,YES,P1,"Owner API exists; preserve QA ownership"
"QA Again",Defects,"Update defect workflow and linkage",WORKFLOW,YES,YES,YES,NO,PARTIAL,PARTIAL,C,"Complex defect lifecycle belongs to QA",MEDIUM,DAILY,MEDIUM,HIGH,HIGH,QA,"Open in QA Again",NO,MEDIUM,YES,DEFER,"OIDA may deep-link exact defect"
"QA Again","Governance","View QA sign-off status and evidence class",READ,YES,YES,NO,PARTIAL,MISSING,NO,A,"Important to governance but not equivalent to customer acceptance",HIGH,WEEKLY,HIGH,LOW,LOW,QA; REVIEWER; APPROVER; PROJECT_OWNER,"QA / Governance Flags / Precheck",YES,HIGH,YES,P0,"Must label QA evidence as TEST/INTERNAL"
"QA Again","Governance","Create cycle sign-off",ACTION,YES,YES,YES,NO,MISSING,NO,C,"Governed specialist decision is write-sensitive",MEDIUM,WEEKLY,HIGH,MEDIUM,HIGH,QA; REVIEWER,"Open in QA Again",YES,MEDIUM,YES,DEFER,"Do not confuse with Document customer sign-off"
"QA Again","Automation","View hybrid-run status, provenance, and last outcome",READ,YES,YES,NO,NO,MISSING,NO,A,"Provides automation confidence without runner controls",MEDIUM,DAILY,MEDIUM,MEDIUM,LOW,QA; PROJECT_OWNER,"QA / Readiness",YES,HIGH,YES,P2,"Projection only"
"QA Again","Automation","Start, finish, or control hybrid runs",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Execution control requires QA workbench and runner context",MEDIUM,DAILY,LOW,HIGH,HIGH,QA,"Open in QA Again",NO,LOW,YES,DEFER,"No runner control in OIDA"
"QA Again","Automation","Decide manual checkpoints during hybrid execution",ACTION,YES,YES,YES,NO,MISSING,NO,C,"In-run decision needs detailed execution state",MEDIUM,DAILY,LOW,HIGH,HIGH,QA; REVIEWER,"Open in QA Again",NO,LOW,YES,DEFER,"Not a lightweight cross-service action"
"QA Again","Automation","Issue runner tokens",INTERNAL,YES,NO,YES,NO,MISSING,NO,D,"Credential administration is not normal project work",LOW,RARE,LOW,HIGH,CRITICAL,QA ADMIN,"None",NO,LOW,NO,DEFER,"Internal/admin only"
"QA Again","Automation","Runner leases, events, recorder state, and environment variables",INTERNAL,YES,PARTIAL,YES,NO,MISSING,NO,D,"Implementation mechanics and sensitive environment data",LOW,CONTINUOUS,LOW,HIGH,CRITICAL,QA ADMIN,"None",NO,LOW,NO,DEFER,"Never project secrets or lease mechanics"
"QA Again","Analytics","View detailed reports, trends, and comparisons",READ,YES,YES,NO,PARTIAL,PRESENT,PRESENT,C,"Specialist analytics catalog is already available",MEDIUM,WEEKLY,MEDIUM,MEDIUM,LOW,QA; PROJECT_OWNER,"Open in QA Again / existing Reports",NO,HIGH,YES,DEFER,"Promote only selected readiness signals"
"QA Again",Export,"Export cycle Excel or evidence ZIP",ACTION,YES,YES,NO,NO,MISSING,NO,C,"Useful specialist export, not project-state projection",MEDIUM,WEEKLY,LOW,MEDIUM,MEDIUM,QA; REVIEWER,"Open in QA Again",NO,LOW,YES,DEFER,"Authenticated blob download needed if retained"
"QA Again","Integration","View QA request, rerun attempt, and result delivery status",READ,YES,YES,NO,PARTIAL,MISSING,NO,A,"Shows orchestration state and avoids blind reruns",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; QA; PM,Project Health / History,YES,HIGH,YES,P1,"Correlation IDs remain owner/Conductor provenance"
"QA Again","Integration","Request a supported QA rerun",ACTION,YES,YES,YES,NO,MISSING,NO,B,"Small explicit action when failed/stale result needs rerun",MEDIUM,WEEKLY,HIGH,LOW,MEDIUM,QA; PROJECT_OWNER,"My Actions / QA Readiness",NO,HIGH,YES,P2,"Owner API exists; require visible prior result and confirmation"
"QA Again","Administration","View or change storage usage and quota",INTERNAL,YES,YES,YES,NO,MISSING,NO,D,"Operational administration is irrelevant to project coherence",LOW,RARE,LOW,MEDIUM,HIGH,QA ADMIN,"None",NO,LOW,NO,DEFER,"Do not expose on normal OIDA surfaces"
"Infra Again",Architecture,"View whether target architecture is defined and accepted",READ,YES,YES,NO,YES,PRESENT,NO,A,"Core architecture readiness signal",HIGH,DAILY,HIGH,LOW,LOW,"PROJECT_OWNER; ARCHITECT; INFRA; FYI: PM, QA",Project Overview / Architecture,YES,HIGH,YES,P0,"Unavailable when explicitly unbound"
"Infra Again",Architecture,"View current architecture revision and checksum",READ,YES,YES,NO,YES,PARTIAL,NO,A,"Revision provenance is required for decisions",HIGH,WEEKLY,HIGH,LOW,LOW,ARCHITECT; INFRA; REVIEWER; PROJECT_OWNER,Architecture / Precheck,YES,HIGH,YES,P0,"Truth carries revision when bound"
"Infra Again",Architecture,"View architecture graph and deployment topology",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Explains the target without duplicating authoring",HIGH,WEEKLY,HIGH,MEDIUM,LOW,"ARCHITECT; INFRA; FYI: PROJECT_OWNER, QA","Architecture / Infra",YES,HIGH,YES,P1,"Read-only graph is appropriate"
"Infra Again",Architecture,"View components, resources, and cloud/on-prem services",READ,YES,YES,NO,YES,PRESENT,NO,A,"Supports impact and readiness context",HIGH,WEEKLY,HIGH,MEDIUM,LOW,ARCHITECT; INFRA; QA,"Architecture / Infra",YES,HIGH,YES,P1,"Project only relevant components"
"Infra Again","Connectivity","View connections and infrastructure dependencies",READ,YES,YES,NO,YES,PRESENT,NO,A,"Connectivity gaps affect schedule, QA, and cutover",HIGH,DAILY,HIGH,MEDIUM,LOW,INFRA; ARCHITECT; QA; PM,Architecture / Project Health,YES,HIGH,YES,P0,"Truth has aggregate connection counts"
"Infra Again","Connectivity","View networks, ports, and security boundaries",READ,YES,YES,NO,PARTIAL,PARTIAL,NO,A,"Critical exceptions matter cross-service",HIGH,WEEKLY,HIGH,MEDIUM,LOW,INFRA; ARCHITECT; SECURITY_LEAD; QA,"Architecture / Infra",YES,HIGH,YES,P1,"Project exceptions only; delegate full port matrix"
"Infra Again","Environment","View environment matrix and readiness",READ,YES,YES,NO,YES,PRESENT,NO,A,"Answers whether target environments are ready",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; INFRA; QA; PM,Project Overview / Architecture,YES,HIGH,YES,P0,"Truth has count/status; environment detail limited"
"Infra Again","Environment","View deployment topology by environment",READ,YES,YES,NO,PARTIAL,PARTIAL,NO,A,"Connects design to test and release targets",HIGH,WEEKLY,HIGH,MEDIUM,LOW,INFRA; ARCHITECT; QA,"Architecture / Infra",YES,HIGH,YES,P1,"Projection only"
"Infra Again",Feasibility,"View feasibility assessment and unsupported capabilities",READ,YES,YES,NO,NO,MISSING,NO,A,"Early exception signal for design and schedule",HIGH,WEEKLY,HIGH,MEDIUM,LOW,ARCHITECT; INFRA; PROJECT_OWNER,Architecture / Project Health,YES,HIGH,YES,P0,"Client exists; UI missing"
"Infra Again",Feasibility,"View simulation results and bottlenecks",READ,YES,YES,NO,NO,MISSING,NO,A,"Useful risk signal when a simulation exists",MEDIUM,WEEKLY,HIGH,MEDIUM,LOW,ARCHITECT; INFRA; PROJECT_OWNER,"Architecture / Infra",YES,HIGH,YES,P1,"Do not run simulation automatically"
"Infra Again","Architecture Authoring","Edit graph components, resources, and connections",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Complex topology editor belongs to Infra",MEDIUM,WEEKLY,LOW,HIGH,HIGH,ARCHITECT; INFRA,"Open in Infra Again",NO,MEDIUM,YES,DEFER,"Read-only projection in OIDA"
"Infra Again","Architecture Authoring","Create or generate architecture design",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Design generation needs specialist review and context",MEDIUM,MONTHLY,MEDIUM,HIGH,HIGH,ARCHITECT; INFRA,"Open in Infra Again",NO,MEDIUM,YES,DEFER,"Never use generation as missing-data fallback"
"Infra Again","Architecture Governance","Accept design or request architecture change",ACTION,YES,YES,YES,NO,MISSING,NO,C,"Governed architecture decision is write-sensitive",HIGH,MONTHLY,HIGH,MEDIUM,HIGH,ARCHITECT; APPROVER,"Open in Infra Again",YES,HIGH,YES,DEFER,"OIDA shows status and deep link"
"Infra Again",Feasibility,"Run flow simulation",ACTION,YES,YES,YES,NO,MISSING,NO,C,"Requires scenario configuration and interpretation",MEDIUM,WEEKLY,MEDIUM,HIGH,MEDIUM,ARCHITECT; INFRA,"Open in Infra Again",NO,MEDIUM,YES,DEFER,"Not a lightweight action"
"Infra Again",AI Advisory,"AI-assisted design generation, refinement, explanation, and review",WORKFLOW,YES,YES,YES,NO,MISSING,NO,E,"Potentially valuable but requires separate AI/product governance design",MEDIUM,MONTHLY,MEDIUM,HIGH,HIGH,ARCHITECT; INFRA; REVIEWER,"Future intelligence phase",NO,HIGH,YES,DEFER,"AI is explicitly outside this implementation decision"
"Infra Again","Implementation","View implementation-plan status and bound architecture",READ,YES,YES,NO,NO,MISSING,NO,A,"Connects accepted design to delivery state",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; INFRA; PM; QA,Project Health / Architecture,YES,HIGH,YES,P0,"Requires project-to-workspace/plan scope"
"Infra Again","Implementation","View work packages and ownership",READ,YES,YES,NO,NO,MISSING,NO,A,"Shows actionable Infra delivery scope without editing it",HIGH,DAILY,HIGH,MEDIUM,LOW,INFRA; PM; PROJECT_OWNER,Architecture / Project Delivery,YES,HIGH,YES,P1,"Summary and blocked packages only"
"Infra Again","Implementation","View implementation dependencies and gates",READ,YES,YES,NO,NO,MISSING,NO,A,"Direct cross-service schedule/readiness input",HIGH,DAILY,HIGH,MEDIUM,LOW,INFRA; PM; QA; PROJECT_OWNER,Project Health / Architecture,YES,HIGH,YES,P0,"High-value missing signal"
